"TYPE","ANGLE","REACHABLE","PWEIGHT","AWEIGHT","DISTANCE","WEAKNESS","SCORE"
"Wood","0.720599160456756","1","0.078","0.0","0.630317380372777","0.8","1360"
"Wood","0.326777947645841","1","0.156","0.156","0.410121933088198","0.8","8510"
"Wood","0.234154028248696","0","0.078","0.0","1.34833230325465","0.8","12960"
"Wood","0.270703604187073","1","0.318","0.0","0.15556349186104","0.8","10290"
"Wood","0.246597841695721","0","0.015","0.0","2.21208046869909","0.8","9250"
"Wood","0.739830142410641","0","0.371","0.318","0.180277563773199","0.8","9640"
"Ice","0.740665407196364","0","0.13","0.0","0.529528091794949","0.8","7660"
"Wood","0.278475782597882","0","0.318","0.0","0.178044938147649","0.8","10440"
"Ice","0.157426009427101","0","0.13","0.0","0.529528091794949","0.8","8730"
"Ice","0.740665407196364","0","0.13","0.0","0.529528091794949","0.8","7450"
"Wood","0.732674926176313","0","0.312","0.0","0.514295634824952","0.8","7640"
"Wood","0.159334592803637","0","0.312","0.0","0.514295634824952","0.8","7640"
"Wood","0.229474950794658","0","0.561","0.612","2.80494206713793","0.8","23920"
"Wood","0.744247113006855","1","0.561","0.612","2.80494206713793","0.8","9320"
"Wood","0.728014587799341","0","0.182","0.078","0.400499687890016","0.8","14960"
"Wood","0.739830142410641","1","0.182","0.078","0.400499687890016","0.8","9370"
"Ice","0.157426009427101","0","0.13","0.0","0.529528091794949","0.8","8730"
"Pig","0.250484093052368","0","0.81","0.078","0.0","1.0","13050"
"Pig","0.167325073823687","0","0.81","0.078","0.0","1.0","7730"
"Wood","0.2322140842543","0","0.072","0.078","0.100498756211209","0.8","26440"
"Wood","0.143101822167796","0","0.072","0.078","0.100498756211209","0.8","10260"
"Wood","0.143101822167796","1","0.318","0.0","0.523259018078045","0.8","28270"
"Wood","0.739830142410641","0","0.318","0.318","0.170293863659264","0.8","9000"
"Wood","0.278475782597882","0","0.318","0.0","0.178044938147649","0.8","8920"
"Wood","0.277302284152667","0","0.612","3.3","1.96022957839127","0.8","8970"
"Wood","0.167575393383828","0","0.377","0.612","2.14114455373756","0.8","10170"
"Wood","0.167575393383828","0","0.377","0.612","2.14114455373756","0.8","23100"
"Wood","0.270703604187073","1","0.318","0.0","0.184390889145858","0.8","9110"
"Wood","0.1439433742725","1","0.318","0.0","0.523259018078045","0.8","10040"
"Pig","0.736251622008011","0","1.0","0.078","0.01","1.0","9450"
"Pig","0.7469915442755","0","1.0","0.078","0.01","1.0","9450"
"Pig","0.249329129160158","0","1.0","0.078","0.01","1.0","12280"
"Ice","0.740665407196364","0","0.13","0.0","0.529528091794949","0.8","7450"
"Wood","0.234154028248696","0","0.078","0.0","1.34833230325465","0.8","12960"
"Wood","0.182150044924978","0","0.1","0.015","2.44899979583503","0.8","10670"
"Wood","0.145001667665526","1","0.312","0.0","0.514295634824952","0.8","8900"
"Wood","0.324845261932173","1","0.182","0.078","0.400499687890016","0.8","7110"
"Wood","0.275360731081572","1","0.182","0.078","0.400499687890016","0.8","7110"
"Wood","0.158498632182763","0","0.078","0.0","0.840238061504","0.8","12130"
"Wood","0.270703604187073","1","0.318","0.0","0.15556349186104","0.8","10170"
"Ice","0.143101822167796","0","0.156","0.0","0.526117857518636","0.8","9060"
"Wood","0.36487467903655","1","0.078","0.0","0.630317380372777","0.8","1800"
"Wood","0.744247113006855","0","0.189","0.13","0.69","0.8","8350"
"Wood","0.226733748829972","0","0.126","0.506","1.19620232402383","0.8","10350"
"Wood","0.146683889773354","1","0.312","0.0","0.51478150704935","0.8","9140"
"Wood","0.731592438858453","0","0.318","0.0","0.523259018078045","0.8","8530"
"Wood","0.147524034133969","1","0.318","0.0","0.523259018078045","0.8","8530"
"Ice","0.740665407196364","0","0.13","0.0","0.529528091794949","0.8","7490"
"Ice","0.740665407196364","0","0.13","0.0","0.529528091794949","0.8","8080"
"Wood","0.743410209401734","0","0.182","0.078","0.360138862107382","0.8","8470"
"Wood","0.278475782597882","0","0.318","0.0","0.178044938147649","0.8","9810"
"Wood","0.246597841695721","0","0.015","0.0","2.21208046869909","0.8","9250"
"Wood","0.226399031074635","0","0.015","0.0","2.21208046869909","0.8","9250"
"Wood","0.162080544379623","0","0.217","0.078","1.4883883901724","0.8","13450"
"Wood","0.2322140842543","0","0.072","0.078","0.100498756211209","0.8","24630"
"Wood","0.748895865337009","0","0.072","0.078","0.100498756211209","0.8","10060"
"Wood","0.173903238853275","0","0.318","0.0","0.523259018078045","0.8","10260"
"Wood","0.739830142410641","0","0.371","0.318","0.180277563773199","0.8","8310"
"Wood","0.246597841695721","0","0.015","0.0","2.21208046869909","0.8","9250"
"Wood","0.119065643690749","1","0.015","0.0","2.21208046869909","0.8","9250"
"Stone","0.725267605069367","1","0.078","0.091","0.500399840127872","0.2","9930"
"Stone","0.717024508645633","1","0.078","0.091","0.500399840127872","0.2","9930"
"Wood","0.721692987406259","1","0.078","0.0","0.630317380372777","0.8","1430"
